"zur&uuml;ck","zur&uuml;ck"
"zur Inhaltsbearbeitung","zur Inhaltsbearbeitung"
"ID","ID"
"Name","Name"
"angeforderte Ver&ouml;ffentlichungen","angeforderte Ver&ouml;ffentlichungen"
"angefordert von","angefordert von"
"angefordert am","angefordert am"
