"zur&uuml;ck","back"
"zur Inhaltsbearbeitung","for content editing"
"ID","ID"
"Name","Name"
"ver&ouml;ffentlicht","published"
"ge&auml;ndert","edited"
"Kommentar","comment"
"Seitenkommentare","Pagecomments"
